epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6476288437843323,0.0003000000142492354,1.0938867330551147,0.8250668048858643,0.5047544240951538,0.6934819221496582,0.9219297170639038,0.7682641744613647,0.637024462223053
1,0.8276300430297852,0.0003000000142492354,0.5200875997543335,0.8763899207115173,0.778087317943573,0.76665860414505,0.714074969291687,0.8015267252922058,0.7378240823745728
2,0.8857125639915466,0.0003000000142492354,0.34574949741363525,0.9114403128623962,0.8608200550079346,0.6530167460441589,1.288001537322998,0.6836574077606201,0.6304821968078613
3,0.911574125289917,0.0003000000142492354,0.26285794377326965,0.9291011691093445,0.8952819108963013,0.8252968192100525,0.636637270450592,0.8418022394180298,0.8148776292800903
4,0.9288353323936462,0.0003000000142492354,0.20896446704864502,0.9413408041000366,0.9184786081314087,0.7441240549087524,1.2031221389770508,0.761447012424469,0.7293433547019958
5,0.9408878684043884,0.0003000000142492354,0.17560575902462006,0.9485978484153748,0.9321664571762085,0.7705354690551758,0.9554645419120789,0.7871000170707703,0.7569662928581238
6,0.9473078846931458,0.0003000000142492354,0.14977598190307617,0.9541239142417908,0.940948486328125,0.9355463981628418,0.19900690019130707,0.9411908984184265,0.9307002425193787
7,0.956998348236084,0.0003000000142492354,0.1305445432662964,0.962985634803772,0.9517291784286499,0.7450932860374451,1.694315791130066,0.7566558718681335,0.7368548512458801
8,0.9599055051803589,0.0003000000142492354,0.11546638607978821,0.9649391174316406,0.9551208019256592,0.8107584118843079,1.0024422407150269,0.8243041634559631,0.8037315011024475
9,0.964569091796875,0.0003000000142492354,0.10330026596784592,0.9678758978843689,0.9598449468612671,0.9370002150535583,0.20463350415229797,0.9416930675506592,0.9353041052818298
10,0.9681424498558044,0.0003000000142492354,0.09035972505807877,0.9711222052574158,0.9654169678688049,0.8776350617408752,0.44850799441337585,0.8844357132911682,0.8715774416923523
11,0.9713524580001831,0.0003000000142492354,0.08628899604082108,0.9743996262550354,0.9682030081748962,0.9168887734413147,0.3343075215816498,0.9219858050346375,0.9134964942932129
